,0
0,3.1
1,3.03
2,16.08
3,4.47
4,15.01
5,23.97
6,2.15
7,3.79
8,12.86
9,15.72
10,5.44
11,2.41
12,2.73
13,5.19
14,21.55
15,30.33
16,2.07
17,7.27
18,6.36
19,4.02
20,2.45
21,3.27
22,4.94
23,1.01
24,1.21
25,6.49
26,6.81
27,2.78
28,4.66
29,5.47
30,2.07
31,8.16
32,3.82
33,6.54
34,9.06
35,12.07
36,4.86
37,16.68
38,7.04
39,17.6
40,17.43
41,9.34
42,8.78
43,8.75
44,5.45
45,20.72
46,11.42
47,22.47
48,3.62
49,5.63
50,6.23
51,19.92
52,6.44
53,10.05
54,7.46
55,5.16
56,2.19
57,2.35
58,3.56
59,5.91
60,4.11
61,5.3
62,4.46
63,4.35
64,3.95
65,9.42
66,1.74
67,4.58
68,5.65
69,3.0
70,7.91
71,6.04
72,2.05
73,3.03
74,8.79
75,5.14
76,6.13
77,23.1
78,29.68
79,7.63
80,6.46
81,5.12
82,19.92
83,5.19
84,1.66
85,2.72
86,5.82
87,2.84
88,11.07
89,3.14
90,4.64
91,1.42
92,5.91
93,5.94
94,6.47
95,2.21
96,5.67
97,3.85
98,1.16
99,29.37
100,4.84
101,2.93
102,2.71
103,11.77
104,5.8
105,6.14
106,5.97
107,22.54
108,5.27
109,37.42
110,5.5
111,3.63
112,9.92
113,6.25
114,23.2
115,4.96
116,7.95
117,8.26
118,6.79
119,26.78
120,2.19
121,22.98
122,49.45
123,29.69
124,6.21
125,5.24
126,6.17
127,3.37
128,5.16
129,1.76
130,4.44
131,2.76
132,36.61
133,3.86
134,6.34
135,5.21
136,8.9
137,2.9
138,3.61
139,6.28
140,3.29
141,14.07
142,2.68
143,2.58
144,9.46
145,3.59
146,1.08
147,6.64
148,25.68
149,5.21
150,3.91
151,1.9
152,35.78
153,19.24
154,6.2
155,4.29
156,9.09
157,7.25
158,11.64
159,6.52
160,46.98
161,1.98
162,11.88
163,7.11
164,31.79
165,3.69
166,1.94
167,5.77
168,2.82
169,2.66
170,1.06
171,3.98
172,5.71
173,3.85
174,30.55
175,4.87
176,5.86
177,3.13
178,23.41
179,2.5
180,27.37
181,1.41
182,3.14
183,2.13
184,16.34
185,23.8
186,2.24
187,63.2
188,3.4
189,3.49
190,2.16
191,5.82
192,3.87
193,5.52
194,9.45
195,39.88
196,24.22
197,37.45
198,3.58
199,39.13
200,0.81
201,3.1
202,4.83
203,21.99
204,2.28
205,6.66
206,4.71
207,4.56
208,6.21
209,12.61
210,3.85
211,4.47
212,5.9
213,6.26
214,3.18
215,8.74
216,3.9
217,24.97
218,1.96
219,10.24
220,3.03
221,5.24
222,5.85
223,11.25
224,6.72
225,4.06
226,29.17
227,10.26
228,12.24
229,10.92
230,9.37
231,3.33
232,2.06
233,8.49
234,1.52
235,6.37
236,1.58
237,4.84
238,2.45
239,6.76
240,1.93
241,4.39
242,6.63
243,3.16
244,9.74
245,2.43
246,27.8
247,6.51
248,5.64
249,9.87
250,2.13
251,3.29
252,50.59
253,2.29
254,1.38
255,4.82
256,5.3
257,4.64
258,25.64
259,2.2
260,12.27
261,2.77
262,3.97
263,5.64
264,3.55
265,8.7
266,18.61
267,11.9
268,5.76
269,11.9
270,0.85
271,3.5
272,9.05
273,21.08
274,19.52
275,8.01
276,5.97
277,10.98
278,5.27
279,3.58
280,3.32
281,49.74
282,3.48
283,4.02
284,5.44
285,43.35
286,5.42
287,4.32
288,3.7
289,25.11
290,35.36
291,1.85
292,1.99
293,15.05
294,3.72
295,9.41
296,3.09
297,2.72
298,10.79
299,3.47
300,9.06
301,11.07
302,14.81
303,4.36
304,4.22
305,17.41
306,6.25
307,3.45
308,3.78
309,6.59
310,13.26
311,9.91
312,6.63
313,7.18
314,4.16
315,4.5
316,3.05
317,10.24
318,3.65
319,4.9
320,4.06
321,3.87
322,3.1
323,1.97
324,9.55
325,5.22
326,5.09
327,23.56
328,3.46
329,2.49
330,2.94
331,13.42
332,3.4
333,4.44
334,4.09
335,4.25
336,4.62
337,5.17
338,4.23
339,3.4
340,20.57
341,9.32
342,3.05
343,7.32
344,5.55
345,2.17
346,4.01
347,4.26
348,2.87
349,11.01
350,26.42
351,34.39
352,7.27
353,3.22
354,7.61
355,9.91
356,7.25
357,30.81
358,12.01
359,2.42
360,38.04
361,3.61
362,29.66
363,2.2
364,5.56
365,4.84
366,4.27
367,21.48
368,31.83
369,5.69
370,3.28
371,15.1
372,7.11
373,5.93
374,3.83
375,3.11
376,4.31
377,12.61
378,6.67
379,5.73
380,1.84
381,5.87
382,5.82
383,2.31
384,6.49
385,18.53
386,1.29
387,2.01
388,5.56
389,17.01
390,31.21
391,3.36
392,6.05
393,3.74
394,6.41
395,7.93
396,7.54
397,8.49
398,30.75
399,3.21
400,6.53
401,11.05
402,17.66
403,10.26
404,5.08
405,34.65
406,8.54
407,4.7
408,6.0
409,2.84
410,4.16
411,0.98
412,9.4
413,5.0
414,1.88
415,35.83
416,6.72
417,3.42
418,26.2
419,4.76
420,4.77
421,6.75
422,8.86
423,6.39
424,5.82
425,28.34
426,13.64
427,5.93
428,1.93
429,12.53
